time (s),net1 (V),net2 (V),net3 (V),net4 (V),net5 (V),net6 (V),net7 (V),net8 (V),net9 (V),net10 (V),net11 (V)
0.000,306.3E-6,16.80E-9,5.000,16.80E-9,16.80E-9,5.000,5.000,16.80E-9,5.000,16.80E-9,5.000
1.934E-12,71.03E-3,4.105E-3,5.000,18.13E-6,1.328E-6,5.000,5.001,65.00E-6,5.000,1.132E-3,5.009
3.602E-12,132.8E-3,7.509E-3,5.000,31.49E-6,2.237E-6,5.000,5.001,114.6E-6,5.000,2.043E-3,5.016
6.076E-12,225.4E-3,12.42E-3,5.000,49.00E-6,3.356E-6,5.000,5.002,181.4E-6,5.000,3.329E-3,5.026
11.02E-12,412.3E-3,21.25E-3,5.001,71.16E-6,4.385E-6,5.000,5.003,275.8E-6,5.000,5.477E-3,5.047
20.92E-12,788.3E-3,35.35E-3,5.001,80.75E-6,3.615E-6,5.000,5.004,349.7E-6,5.000,8.399E-3,5.083
39.41E-12,1.430,49.37E-3,5.001,26.61E-6,-1.269E-6,5.000,5.005,245.0E-6,5.000,9.023E-3,5.124
53.98E-12,1.903,54.01E-3,5.000,-86.79E-6,-4.341E-6,5.000,5.004,111.0E-6,5.000,2.382E-3,5.096
73.16E-12,2.477,55.49E-3,4.998,-225.8E-6,-4.866E-6,5.000,5.003,-35.99E-6,5.000,-13.75E-3,4.961
102.0E-12,3.198,55.34E-3,4.996,-335.1E-6,-1.857E-6,5.000,5.002,-122.0E-6,5.000,-47.40E-3,4.534
132.6E-12,3.776,54.75E-3,4.993,-357.0E-6,846.8E-9,5.000,5.001,-112.1E-6,5.000,-92.33E-3,3.742
166.2E-12,4.195,44.77E-3,4.999,486.1E-6,8.266E-6,5.000,5.000,-156.3E-6,5.000,-58.21E-3,2.575
194.8E-12,4.428,34.16E-3,5.019,2.112E-3,16.63E-6,5.000,4.999,-136.7E-6,5.000,139.1E-3,1.539
216.4E-12,4.537,25.69E-3,5.053,4.580E-3,28.94E-6,5.000,4.998,-112.9E-6,5.000,515.9E-3,928.3E-3
234.2E-12,4.612,20.93E-3,5.092,6.801E-3,31.42E-6,5.001,4.998,-67.00E-6,5.000,982.6E-3,579.2E-3
250.5E-12,4.677,18.19E-3,5.112,6.169E-3,-3.325E-6,5.000,4.998,-25.15E-6,5.000,1.435,379.1E-3
266.3E-12,4.734,16.13E-3,5.076,-380.6E-6,-93.03E-6,5.000,4.998,1.675E-6,5.000,1.893,258.1E-3
286.1E-12,4.796,13.80E-3,4.940,-15.18E-3,-202.8E-6,4.998,4.998,17.20E-6,5.000,2.449,168.5E-3
308.1E-12,4.850,11.31E-3,4.655,-37.70E-3,-279.8E-6,4.996,4.999,22.36E-6,5.000,3.005,114.8E-3
332.7E-12,4.896,8.766E-3,4.114,-75.95E-3,-390.9E-6,4.994,4.999,22.17E-6,5.000,3.522,86.80E-3
358.1E-12,4.929,6.446E-3,3.350,-98.47E-3,-167.3E-6,4.994,4.999,24.13E-6,5.000,3.925,68.56E-3
387.9E-12,4.954,4.314E-3,2.270,-22.81E-3,882.2E-6,5.004,4.999,31.67E-6,5.000,4.254,50.71E-3
415.1E-12,4.969,2.929E-3,1.333,228.7E-3,2.714E-3,5.028,4.999,39.64E-6,5.000,4.454,36.99E-3
434.1E-12,4.976,2.223E-3,839.0E-3,614.8E-3,5.121E-3,5.062,4.999,50.92E-6,5.000,4.546,28.50E-3
452.5E-12,4.981,1.724E-3,514.2E-3,1.107,6.997E-3,5.100,4.999,45.72E-6,5.001,4.624,23.04E-3
475.9E-12,4.987,1.251E-3,281.4E-3,1.774,1.972E-3,5.089,5.000,-41.04E-6,5.000,4.715,18.63E-3
493.5E-12,4.990,980.1E-6,190.4E-3,2.275,-9.808E-3,4.992,5.000,-152.3E-6,4.999,4.774,16.07E-3
515.2E-12,4.992,718.5E-6,126.4E-3,2.849,-30.13E-3,4.756,5.000,-244.2E-6,4.997,4.833,13.14E-3
538.8E-12,4.994,510.1E-6,93.29E-3,3.376,-62.55E-3,4.299,5.000,-342.4E-6,4.995,4.882,10.29E-3
563.8E-12,4.996,355.9E-6,73.98E-3,3.812,-96.97E-3,3.611,5.000,-305.2E-6,4.993,4.919,7.655E-3
598.4E-12,4.997,225.6E-6,52.49E-3,4.226,-37.68E-3,2.393,5.000,726.0E-6,5.002,4.951,4.805E-3
625.4E-12,4.998,167.2E-6,38.67E-3,4.436,179.1E-3,1.438,5.000,2.384E-3,5.023,4.967,3.264E-3
645.9E-12,4.999,144.7E-6,29.19E-3,4.538,563.2E-3,883.8E-3,5.000,4.848E-3,5.057,4.975,2.422E-3
663.8E-12,4.999,121.2E-6,23.60E-3,4.614,1.038,549.4E-3,5.000,6.936E-3,5.096,4.981,1.886E-3
680.0E-12,4.999,61.79E-6,20.27E-3,4.680,1.495,360.5E-3,5.000,5.607E-3,5.110,4.985,1.510E-3
696.3E-12,4.999,-44.25E-6,17.67E-3,4.739,1.964,244.5E-3,4.999,-1.858E-3,5.064,4.988,1.206E-3
716.5E-12,4.999,-167.1E-6,14.79E-3,4.801,2.528,159.4E-3,4.998,-17.78E-3,4.910,4.991,905.9E-6
739.0E-12,5.000,-255.4E-6,11.88E-3,4.855,3.083,109.7E-3,4.996,-41.93E-3,4.595,4.993,654.5E-6
763.8E-12,5.000,-368.5E-6,9.051E-3,4.900,3.588,84.13E-3,4.993,-81.38E-3,4.018,4.995,455.3E-6
790.4E-12,5.000,-32.10E-6,6.479E-3,4.933,3.987,65.58E-3,4.994,-94.99E-3,3.187,4.997,313.7E-6
819.1E-12,5.000,1.078E-3,4.363E-3,4.956,4.287,48.80E-3,5.006,-1.672E-3,2.128,4.998,218.1E-6
837.4E-12,5.000,2.250E-3,3.363E-3,4.966,4.422,39.46E-3,5.021,154.0E-3,1.477,4.998,178.3E-6
856.5E-12,5.000,4.516E-3,2.549E-3,4.974,4.522,30.48E-3,5.052,494.0E-3,944.4E-3,4.998,154.5E-6
873.0E-12,5.000,6.641E-3,2.022E-3,4.979,4.594,24.92E-3,5.088,922.8E-3,612.9E-3,4.999,133.9E-6
887.8E-12,5.000,6.899E-3,1.651E-3,4.983,4.656,21.52E-3,5.113,1.332,415.8E-3,4.999,94.30E-6
902.9E-12,5.000,1.963E-3,1.341E-3,4.986,4.713,18.88E-3,5.093,1.767,286.4E-3,4.999,2.977E-6
921.9E-12,4.998,-10.92E-3,1.027E-3,4.990,4.777,16.03E-3,4.985,2.308,187.3E-3,4.999,-123.9E-6
943.4E-12,4.997,-31.25E-3,754.5E-6,4.992,4.835,13.10E-3,4.744,2.871,125.5E-3,4.999,-219.9E-6
968.0E-12,4.994,-66.15E-3,526.7E-6,4.994,4.885,10.12E-3,4.253,3.415,91.75E-3,5.000,-333.8E-6
992.9E-12,4.993,-98.16E-3,368.0E-6,4.996,4.921,7.509E-3,3.551,3.840,72.81E-3,5.000,-263.9E-6
1.027E-9,5.002,-32.42E-3,235.2E-6,4.997,4.952,4.749E-3,2.348,4.237,51.89E-3,5.000,776.1E-6
1.054E-9,5.024,195.1E-3,173.9E-6,4.998,4.967,3.226E-3,1.401,4.442,38.12E-3,5.000,2.492E-3
1.074E-9,5.059,582.4E-3,150.3E-6,4.999,4.975,2.409E-3,866.2E-3,4.541,28.94E-3,5.000,4.955E-3
1.092E-9,5.098,1.062,124.0E-6,4.999,4.981,1.872E-3,536.3E-3,4.618,23.41E-3,5.000,6.976E-3
1.108E-9,5.109,1.527,59.31E-6,4.999,4.985,1.495E-3,350.6E-3,4.684,20.09E-3,5.000,5.272E-3
1.125E-9,5.057,2.003,-50.01E-6,4.999,4.988,1.190E-3,236.9E-3,4.743,17.48E-3,4.999,-2.717E-3
1.145E-9,4.892,2.572,-172.6E-6,4.999,4.991,888.9E-6,154.3E-3,4.806,14.57E-3,4.998,-19.30E-3
1.168E-9,4.558,3.126,-261.8E-6,5.000,4.993,639.5E-6,106.9E-3,4.859,11.65E-3,4.996,-44.46E-3
1.193E-9,3.960,3.626,-365.5E-6,5.000,4.995,443.6E-6,82.49E-3,4.903,8.830E-3,4.993,-84.28E-3
1.221E-9,3.071,4.028,60.35E-6,5.000,4.997,301.3E-6,63.44E-3,4.936,6.198E-3,4.995,-90.73E-3
1.249E-9,2.014,4.313,1.252E-3,5.000,4.998,211.3E-6,47.22E-3,4.958,4.180E-3,5.008,18.15E-3
1.267E-9,1.392,4.438,2.490E-3,5.000,4.998,174.4E-6,38.07E-3,4.967,3.234E-3,5.024,189.1E-3
1.286E-9,897.7E-3,4.531,4.783E-3,5.000,4.999,153.0E-6,29.69E-3,4.974,2.478E-3,5.056,539.9E-3
1.303E-9,573.6E-3,4.604,6.881E-3,5.000,4.999,130.3E-6,24.26E-3,4.980,1.955E-3,5.093,987.8E-3
1.319E-9,377.2E-3,4.670,6.177E-3,5.000,4.999,76.40E-6,20.80E-3,4.984,1.568E-3,5.112,1.438
1.334E-9,258.5E-3,4.729,-301.4E-6,5.000,4.999,-24.48E-6,18.21E-3,4.987,1.264E-3,5.077,1.890
1.354E-9,168.9E-3,4.792,-15.09E-3,4.998,4.999,-150.4E-6,15.33E-3,4.990,956.2E-6,4.941,2.446
1.376E-9,115.1E-3,4.847,-37.63E-3,4.996,5.000,-240.7E-6,12.39E-3,4.993,695.5E-6,4.657,3.004
1.401E-9,86.98E-3,4.894,-75.93E-3,4.994,5.000,-362.4E-6,9.497E-3,4.995,485.1E-6,4.115,3.522
1.426E-9,68.70E-3,4.927,-98.48E-3,4.994,5.000,-147.2E-6,6.937E-3,4.996,338.2E-6,3.350,3.925
1.456E-9,50.78E-3,4.953,-22.58E-3,5.004,5.000,897.0E-6,4.618E-3,4.997,230.3E-6,2.268,4.254
1.483E-9,37.03E-3,4.968,229.5E-3,5.028,5.000,2.728E-3,3.128E-3,4.998,170.7E-6,1.332,4.454
1.502E-9,28.53E-3,4.976,615.9E-3,5.062,5.000,5.135E-3,2.371E-3,4.999,149.0E-6,838.0E-3,4.546
1.521E-9,23.07E-3,4.981,1.108,5.101,5.000,7.003E-3,1.835E-3,4.999,119.9E-6,513.5E-3,4.624
1.544E-9,18.66E-3,4.986,1.773,5.089,5.000,1.985E-3,1.330E-3,4.999,10.94E-6,281.6E-3,4.715
1.562E-9,16.09E-3,4.989,2.275,4.992,4.999,-9.797E-3,1.040E-3,4.999,-112.6E-6,190.5E-3,4.774
1.583E-9,13.16E-3,4.992,2.848,4.756,4.997,-30.10E-3,761.6E-6,4.999,-216.0E-6,126.5E-3,4.833
1.607E-9,10.30E-3,4.994,3.375,4.299,4.995,-62.52E-3,539.9E-6,5.000,-322.9E-6,93.31E-3,4.882
1.632E-9,7.663E-3,4.996,3.812,3.611,4.993,-96.96E-3,376.2E-6,5.000,-292.1E-6,73.99E-3,4.919
1.667E-9,4.810E-3,4.997,4.226,2.394,5.002,-37.72E-3,237.5E-6,5.000,733.2E-6,52.50E-3,4.951
1.694E-9,3.267E-3,4.998,4.436,1.438,5.023,179.0E-3,174.9E-6,5.000,2.388E-3,38.68E-3,4.967
1.714E-9,2.425E-3,4.999,4.538,883.9E-3,5.057,563.1E-3,150.4E-6,5.000,4.851E-3,29.20E-3,4.975
1.732E-9,1.887E-3,4.999,4.614,549.5E-3,5.096,1.038,125.6E-6,5.000,6.939E-3,23.61E-3,4.981
1.748E-9,1.511E-3,4.999,4.680,360.5E-3,5.110,1.495,65.21E-6,5.000,5.611E-3,20.27E-3,4.985
1.764E-9,1.207E-3,4.999,4.739,244.5E-3,5.064,1.964,-41.44E-6,4.999,-1.851E-3,17.67E-3,4.988
1.785E-9,906.8E-6,4.999,4.801,159.5E-3,4.910,2.528,-165.1E-6,4.998,-17.77E-3,14.79E-3,4.991
1.807E-9,655.1E-6,5.000,4.855,109.7E-3,4.595,3.083,-254.0E-6,4.996,-41.92E-3,11.88E-3,4.993
1.832E-9,455.7E-6,5.000,4.900,84.14E-3,4.019,3.588,-367.6E-6,4.993,-81.37E-3,9.052E-3,4.995
1.859E-9,314.0E-6,5.000,4.933,65.59E-3,3.188,3.987,-31.94E-6,4.994,-95.01E-3,6.481E-3,4.997
1.887E-9,218.2E-6,5.000,4.956,48.81E-3,2.129,4.287,1.077E-3,5.006,-1.759E-3,4.364E-3,4.998
1.906E-9,178.4E-6,5.000,4.966,39.47E-3,1.477,4.422,2.249E-3,5.021,153.8E-3,3.364E-3,4.998
1.925E-9,154.6E-6,5.000,4.974,30.49E-3,944.6E-3,4.522,4.515E-3,5.052,493.8E-3,2.549E-3,4.998
1.941E-9,134.0E-6,5.000,4.979,24.92E-3,613.0E-3,4.594,6.640E-3,5.088,922.6E-3,2.022E-3,4.999
1.956E-9,94.41E-6,5.000,4.983,21.53E-3,415.9E-3,4.656,6.900E-3,5.112,1.332,1.651E-3,4.999
1.971E-9,3.102E-6,5.000,4.986,18.89E-3,286.5E-3,4.713,1.969E-3,5.093,1.767,1.341E-3,4.999
1.990E-9,-123.8E-6,4.998,4.990,16.03E-3,187.4E-3,4.777,-10.91E-3,4.985,2.308,1.027E-3,4.999
2.011E-9,-219.8E-6,4.997,4.992,13.11E-3,125.5E-3,4.835,-31.23E-3,4.744,2.871,754.7E-6,4.999
2.036E-9,-333.7E-6,4.994,4.994,10.12E-3,91.77E-3,4.885,-66.12E-3,4.253,3.414,526.8E-6,5.000
2.061E-9,-264.1E-6,4.993,4.996,7.510E-3,72.82E-3,4.921,-98.15E-3,3.551,3.840,368.1E-6,5.000
2.095E-9,776.2E-6,5.002,4.997,4.749E-3,51.89E-3,4.952,-32.39E-3,2.348,4.237,235.2E-6,5.000
2.122E-9,2.492E-3,5.024,4.998,3.226E-3,38.12E-3,4.967,195.2E-3,1.401,4.442,173.9E-6,5.000
2.142E-9,4.955E-3,5.059,4.999,2.408E-3,28.93E-3,4.975,582.5E-3,866.1E-3,4.541,150.3E-6,5.000
2.160E-9,6.976E-3,5.098,4.999,1.872E-3,23.41E-3,4.981,1.063,536.1E-3,4.618,124.0E-6,5.000
2.176E-9,5.269E-3,5.109,4.999,1.495E-3,20.09E-3,4.985,1.527,350.5E-3,4.684,59.25E-6,5.000
2.193E-9,-2.725E-3,5.057,4.999,1.189E-3,17.47E-3,4.988,2.004,236.9E-3,4.743,-50.09E-6,4.999
2.214E-9,-19.32E-3,4.892,4.999,888.7E-6,14.57E-3,4.991,2.573,154.3E-3,4.806,-172.7E-6,4.998
2.236E-9,-44.48E-3,4.558,5.000,639.4E-6,11.65E-3,4.993,3.127,106.9E-3,4.859,-261.9E-6,4.996
2.261E-9,-84.31E-3,3.960,5.000,443.5E-6,8.828E-3,4.995,3.626,82.47E-3,4.903,-365.5E-6,4.993
2.289E-9,-90.68E-3,3.070,5.000,301.1E-6,6.195E-3,4.997,4.029,63.42E-3,4.936,61.35E-6,4.995
2.318E-9,18.37E-3,2.013,5.000,211.2E-6,4.178E-3,4.998,4.313,47.20E-3,4.958,1.253E-3,5.008
2.335E-9,189.5E-3,1.391,5.000,174.3E-6,3.232E-3,4.998,4.438,38.05E-3,4.967,2.493E-3,5.024
2.354E-9,540.5E-3,897.1E-3,5.000,153.0E-6,2.477E-3,4.999,4.531,29.68E-3,4.974,4.787E-3,5.056
2.371E-9,988.6E-3,573.2E-3,5.000,130.3E-6,1.954E-3,4.999,4.604,24.25E-3,4.980,6.883E-3,5.093
2.387E-9,1.440,376.6E-3,5.000,76.11E-6,1.567E-3,4.999,4.671,20.79E-3,4.984,6.164E-3,5.112
2.403E-9,1.892,258.1E-3,5.000,-24.91E-6,1.262E-3,4.999,4.729,18.20E-3,4.987,-339.0E-6,5.077
2.422E-9,2.448,168.6E-3,4.998,-150.8E-6,955.0E-6,4.999,4.792,15.32E-3,4.990,-15.16E-3,4.941
2.444E-9,3.006,114.9E-3,4.996,-241.0E-6,694.6E-6,5.000,4.848,12.38E-3,4.993,-37.74E-3,4.655
2.469E-9,3.524,86.90E-3,4.994,-362.7E-6,484.4E-6,5.000,4.894,9.486E-3,4.995,-76.07E-3,4.112
2.495E-9,3.927,68.63E-3,4.994,-144.8E-6,337.7E-6,5.000,4.928,6.927E-3,4.996,-98.44E-3,3.347
2.524E-9,4.255,50.74E-3,5.004,900.5E-6,230.1E-6,5.000,4.953,4.613E-3,4.997,-22.20E-3,2.266
2.551E-9,4.455,36.99E-3,5.028,2.737E-3,170.6E-6,5.000,4.968,3.124E-3,4.998,230.8E-3,1.329
2.571E-9,4.547,28.51E-3,5.062,5.143E-3,149.0E-6,5.000,4.976,2.369E-3,4.999,617.6E-3,836.7E-3
2.589E-9,4.625,23.05E-3,5.101,7.003E-3,119.7E-6,5.000,4.981,1.834E-3,4.999,1.110,512.5E-3
2.612E-9,4.715,18.67E-3,5.089,2.001E-3,11.09E-6,5.000,4.986,1.331E-3,4.999,1.772,282.0E-3
2.630E-9,4.774,16.10E-3,4.993,-9.784E-3,-112.5E-6,4.999,4.989,1.041E-3,4.999,2.275,190.6E-3
2.651E-9,4.833,13.17E-3,4.757,-30.06E-3,-215.8E-6,4.997,4.992,762.1E-6,4.999,2.847,126.6E-3
2.675E-9,4.882,10.30E-3,4.300,-62.47E-3,-322.7E-6,4.995,4.994,540.2E-6,5.000,3.375,93.34E-3
2.700E-9,4.919,7.666E-3,3.612,-96.94E-3,-292.4E-6,4.993,4.996,376.4E-6,5.000,3.812,74.01E-3
2.735E-9,4.951,4.811E-3,2.394,-37.80E-3,732.3E-6,5.002,4.997,237.5E-6,5.000,4.226,52.51E-3
2.762E-9,4.967,3.268E-3,1.439,178.8E-3,2.387E-3,5.023,4.998,174.9E-6,5.000,4.436,38.69E-3
2.782E-9,4.975,2.425E-3,884.2E-3,562.8E-3,4.850E-3,5.057,4.999,150.4E-6,5.000,4.538,29.20E-3
2.800E-9,4.981,1.888E-3,549.7E-3,1.037,6.938E-3,5.096,4.999,125.6E-6,5.000,4.614,23.61E-3
2.816E-9,4.985,1.511E-3,360.7E-3,1.495,5.615E-3,5.110,4.999,65.29E-6,5.000,4.680,20.27E-3
2.833E-9,4.988,1.208E-3,244.6E-3,1.963,-1.841E-3,5.064,4.999,-41.33E-6,4.999,4.739,17.67E-3
2.853E-9,4.991,907.1E-6,159.5E-3,2.527,-17.75E-3,4.911,4.999,-165.0E-6,4.998,4.801,14.80E-3
2.875E-9,4.993,655.3E-6,109.7E-3,3.082,-41.89E-3,4.596,5.000,-253.9E-6,4.996,4.855,11.88E-3
2.900E-9,4.995,455.9E-6,84.16E-3,3.588,-81.33E-3,4.019,5.000,-367.6E-6,4.993,4.900,9.055E-3
2.927E-9,4.997,314.1E-6,65.62E-3,3.987,-95.04E-3,3.189,5.000,-32.86E-6,4.994,4.933,6.484E-3
2.955E-9,4.998,218.3E-6,48.83E-3,4.287,-1.945E-3,2.130,5.000,1.076E-3,5.006,4.956,4.366E-3
2.974E-9,4.998,178.5E-6,39.48E-3,4.421,153.5E-3,1.478,5.000,2.247E-3,5.021,4.966,3.365E-3
2.993E-9,4.998,154.7E-6,30.50E-3,4.521,493.4E-3,945.0E-3,5.000,4.513E-3,5.052,4.974,2.550E-3
3.009E-9,4.999,134.0E-6,24.93E-3,4.594,922.0E-3,613.4E-3,5.000,6.637E-3,5.088,4.979,2.022E-3
3.024E-9,4.999,94.52E-6,21.53E-3,4.655,1.331,416.2E-3,5.000,6.904E-3,5.112,4.983,1.651E-3
3.039E-9,4.999,3.277E-6,18.89E-3,4.713,1.766,286.6E-3,5.000,1.981E-3,5.093,4.986,1.342E-3
3.058E-9,4.999,-123.6E-6,16.04E-3,4.777,2.307,187.5E-3,4.998,-10.88E-3,4.985,4.990,1.028E-3
3.080E-9,4.999,-219.7E-6,13.11E-3,4.834,2.870,125.6E-3,4.997,-31.19E-3,4.745,4.992,755.0E-6
3.104E-9,5.000,-333.5E-6,10.12E-3,4.885,3.414,91.80E-3,4.994,-66.06E-3,4.254,4.994,527.1E-6
3.129E-9,5.000,-264.6E-6,7.513E-3,4.920,3.839,72.84E-3,4.993,-98.14E-3,3.552,4.996,368.3E-6
3.163E-9,5.000,776.4E-6,4.748E-3,4.952,4.237,51.88E-3,5.002,-32.33E-3,2.347,4.997,235.1E-6
3.190E-9,5.000,2.493E-3,3.225E-3,4.967,4.443,38.11E-3,5.025,195.4E-3,1.401,4.998,173.9E-6
3.210E-9,5.000,4.957E-3,2.408E-3,4.975,4.541,28.93E-3,5.059,582.9E-3,865.7E-3,4.999,150.3E-6
3.228E-9,5.000,6.977E-3,1.872E-3,4.981,4.618,23.40E-3,5.098,1.063,535.9E-3,4.999,124.0E-6
3.245E-9,5.000,5.262E-3,1.494E-3,4.985,4.684,20.09E-3,5.109,1.528,350.3E-3,4.999,59.12E-6
3.261E-9,4.999,-2.743E-3,1.189E-3,4.988,4.743,17.47E-3,5.057,2.004,236.7E-3,4.999,-50.27E-6
3.282E-9,4.998,-19.35E-3,888.2E-6,4.991,4.806,14.57E-3,4.892,2.574,154.2E-3,4.999,-172.8E-6
3.304E-9,4.996,-44.53E-3,639.0E-6,4.993,4.860,11.64E-3,4.557,3.128,106.8E-3,5.000,-262.0E-6
3.330E-9,4.993,-84.37E-3,443.2E-6,4.995,4.903,8.823E-3,3.958,3.627,82.44E-3,5.000,-365.4E-6
3.357E-9,4.995,-90.57E-3,300.8E-6,4.997,4.936,6.189E-3,3.067,4.030,63.37E-3,5.000,63.54E-6
3.386E-9,5.008,18.87E-3,211.0E-6,4.998,4.958,4.173E-3,2.011,4.314,47.16E-3,5.000,1.257E-3
3.411E-9,5.036,323.5E-3,163.3E-6,4.998,4.970,2.885E-3,1.174,4.481,34.37E-3,5.000,3.371E-3
3.429E-9,5.071,730.7E-3,143.4E-6,4.999,4.977,2.232E-3,748.9E-3,4.564,27.11E-3,5.000,5.707E-3
3.448E-9,5.107,1.255,103.2E-6,4.999,4.982,1.709E-3,448.3E-3,4.644,22.00E-3,5.000,6.830E-3
3.467E-9,5.089,1.777,5.098E-6,4.999,4.986,1.331E-3,284.3E-3,4.715,18.76E-3,5.000,1.731E-3
3.487E-9,4.970,2.350,-129.3E-6,4.999,4.990,1.003E-3,181.2E-3,4.781,15.78E-3,4.998,-12.12E-3
3.508E-9,4.724,2.900,-223.3E-6,4.999,4.992,739.7E-6,123.0E-3,4.837,12.93E-3,4.997,-32.52E-3
3.533E-9,4.225,3.436,-341.5E-6,5.000,4.995,517.3E-6,90.79E-3,4.887,9.993E-3,4.994,-68.11E-3
3.557E-9,3.516,3.854,-246.7E-6,5.000,4.996,362.0E-6,72.12E-3,4.922,7.410E-3,4.993,-98.52E-3
3.590E-9,2.369,4.230,761.3E-6,5.000,4.997,236.9E-6,52.25E-3,4.951,4.794E-3,5.002,-35.19E-3
3.617E-9,1.420,4.438,2.440E-3,5.000,4.998,174.7E-6,38.48E-3,4.967,3.261E-3,5.024,186.7E-3
3.637E-9,881.6E-3,4.537,4.867E-3,5.000,4.999,150.9E-6,29.24E-3,4.975,2.438E-3,5.058,565.9E-3
3.655E-9,547.2E-3,4.614,6.945E-3,5.000,4.999,125.7E-6,23.63E-3,4.980,1.896E-3,5.097,1.042
3.671E-9,359.1E-3,4.680,5.556E-3,5.000,4.999,64.55E-6,20.29E-3,4.984,1.518E-3,5.110,1.500
3.687E-9,243.4E-3,4.739,-1.989E-3,4.999,4.999,-42.56E-6,17.68E-3,4.988,1.212E-3,5.063,1.970
3.707E-9,158.7E-3,4.801,-18.01E-3,4.998,4.999,-166.1E-6,14.79E-3,4.991,909.5E-6,4.908,2.535
3.730E-9,109.3E-3,4.856,-42.32E-3,4.996,5.000,-255.1E-6,11.87E-3,4.993,656.6E-6,4.589,3.090
3.755E-9,83.90E-3,4.900,-81.84E-3,4.993,5.000,-367.4E-6,9.033E-3,4.995,456.6E-6,4.010,3.594
3.781E-9,65.29E-3,4.933,-94.48E-3,4.995,5.000,-18.88E-6,6.449E-3,4.997,314.0E-6,3.171,3.993
3.810E-9,48.59E-3,4.956,944.0E-6,5.006,5.000,1.111E-3,4.345E-3,4.998,218.6E-6,2.112,4.291
3.828E-9,39.28E-3,4.966,158.4E-3,5.021,5.000,2.282E-3,3.351E-3,4.998,178.7E-6,1.465,4.424
3.847E-9,30.39E-3,4.974,499.6E-3,5.052,5.000,4.549E-3,2.544E-3,4.998,155.1E-6,938.4E-3,4.523
3.864E-9,24.84E-3,4.979,930.7E-3,5.088,5.000,6.672E-3,2.016E-3,4.999,134.1E-6,607.9E-3,4.595
3.879E-9,21.46E-3,4.983,1.342,5.113,5.000,6.847E-3,1.645E-3,4.999,93.30E-6,412.1E-3,4.657
3.894E-9,18.83E-3,4.986,1.778,5.092,5.000,1.777E-3,1.336E-3,4.999,939.5E-9,283.8E-3,4.715
3.913E-9,15.98E-3,4.990,2.320,4.982,4.998,-11.21E-3,1.023E-3,4.999,-125.5E-6,185.7E-3,4.778
3.934E-9,13.05E-3,4.992,2.883,4.737,4.997,-31.75E-3,750.5E-6,4.999,-221.6E-6,124.5E-3,4.836
3.959E-9,10.08E-3,4.994,3.422,4.244,4.994,-66.84E-3,524.6E-6,5.000,-336.4E-6,91.43E-3,4.885
3.979E-9,7.898E-3,4.996,3.780,3.676,4.993,-97.13E-3,390.4E-6,5.000,-320.6E-6,75.65E-3,4.916
4.000E-9,6.045E-3,4.997,4.053,2.985,4.996,-88.74E-3,296.6E-6,5.000,169.9E-6,62.12E-3,4.938
